Nome_Municipio,UF,Taxa_Alfabetizacao,Pop_Alfabetizada,Populacao_Total,Vulnerabilidade_Real,Vulnerabilidade_Prevista,Score_Previsao,Previsao_Correta,prop_15_19,prop_20_24,prop_25_34,prop_35_44,prop_45_54,prop_55_64,prop_65_mais,prop_brancos,prop_pretos,prop_pardos,prop_amarelos,prop_indigenas,prop_homens,prop_mulheres
Natuba,PB,70.0,4904,7006,Alta,Alta,1.0,True,0.10833571224664573,0.09705966314587497,0.18113045960605195,0.18155866400228377,0.15658007422209536,0.11946902654867257,0.15586640022837567,0.37582072509277764,0.08121610048529831,0.5429631744219241,0.0,0.0,0.4982871824150728,0.5017128175849273
Dom Expedito Lopes,PI,81.03,4237,5229,Média,Média,1.0,True,0.08720596672403902,0.08433734939759036,0.1736469688276917,0.17938420348058903,0.17326448651749857,0.14629948364888123,0.15586154140371009,0.40657869573532224,0.06062344616561484,0.5326066169439664,0.00019124115509657678,0.0,0.49225473321858865,0.5077452667814114
Pindorama,SP,95.0,11591,12201,Média,Média,1.0,True,0.07081386771576101,0.07261699860667159,0.15711826899434472,0.1944102942381772,0.17334644701253996,0.14449635275797065,0.18719777067453489,0.6924842226047045,0.040570445045488075,0.26448651749856567,0.001967051880993361,0.0004917629702483403,0.4934021801491681,0.5065978198508319
Jacutinga,MG,95.53,19952,20886,Média,Média,1.0,True,0.08306999904242077,0.0857512209135306,0.1750454850138849,0.19812314469022313,0.16767212486833286,0.14090778511921861,0.14943024035238917,0.6787321650866609,0.04854926745188164,0.27075553002010916,0.0011012161256343962,0.0008618213157138753,0.4916211816527818,0.5083788183472182
Capão do Leão,RS,95.1,19981,21011,Média,Média,1.0,True,0.0882870877159583,0.09518823473418686,0.1846175812669554,0.18352291656751227,0.15687021084193994,0.14668506972538195,0.1448288991480653,0.7723097425158251,0.0948074817952501,0.1304554757032031,0.0009042882299747752,0.0015230117557469896,0.48269953833706153,0.5173004616629384
Gaurama,RS,96.71,4738,4899,Média,Média,1.0,True,0.05837926107368851,0.06634006940191876,0.14982649520310268,0.14574402939375383,0.15901204327413757,0.1855480710349051,0.23515003061849357,0.8958971218616044,0.02204531537048377,0.0810369463155746,0.000612369871402327,0.0004082465809348847,0.4827515819555011,0.5172484180444988
Várzea Grande,PI,78.27,2781,3553,Média,Média,1.0,True,0.096819589079651,0.08415423585702224,0.140163242330425,0.203771460737405,0.15339150014072614,0.14241486068111456,0.17928511117365606,0.20292710385589643,0.1666197579510273,0.6296087813115677,0.0,0.0008443568815085843,0.472558401350971,0.527441598649029
Bananal,SP,94.62,7777,8219,Média,Média,1.0,True,0.08456016547025186,0.08529018128726122,0.1603601411363913,0.17532546538508334,0.16814697651782456,0.15269497505779292,0.1736220951453948,0.5146611509916048,0.11011071906557976,0.3744981141258061,0.000486677211339579,0.0002433386056697895,0.4779170215354666,0.5220829784645334
Campina Grande do Sul,PR,96.3,36014,37399,Média,Média,1.0,True,0.09160672745260569,0.101152437230942,0.2054333003556245,0.20209096499906415,0.1689349982619856,0.12433487526404449,0.10644669643573358,0.6032246851520094,0.055803631113131365,0.3357041632129201,0.003342335356560336,0.0019251851653787535,0.48482579748121607,0.5151742025187839
Tapiraí,SP,92.67,5853,6316,Média,Média,1.0,True,0.09879670677644078,0.09721342621912603,0.1689360354654845,0.17701076630778975,0.1700443318556048,0.13220392653578214,0.155794806839772,0.5530398986700443,0.06190626979100697,0.3492716909436352,0.022324255858138062,0.013457884737175428,0.5011082963901203,0.49889170360987967
