nome_municipio,uf,pop_alfabetizada,populacao_total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,prop_grupo_idade_15_a_19_anos,prop_grupo_idade_20_a_24_anos,prop_grupo_idade_25_a_34_anos,prop_grupo_idade_35_a_44_anos,prop_grupo_idade_45_a_54_anos,prop_grupo_idade_55_a_64_anos,prop_grupo_idade_65_anos_ou_mais,Amarela,Branca,Indígena,Parda,Preta,prop_cor_raca_Amarela,prop_cor_raca_Branca,prop_cor_raca_Indígena,prop_cor_raca_Parda,prop_cor_raca_Preta,Homens,Mulheres,prop_sexo_Homens,prop_sexo_Mulheres,taxa_alfabetizacao,indice_complexo,vulnerabilidade_educacional
Matriz de Camaragibe,AL,13591,17729,2109,2137,3410,3385,2808,1982,1898,0.1189576400248181,0.12053697332054826,0.19234023351570873,0.19093011450166394,0.1583845676575103,0.11179423543347058,0.1070562355462801,19,3922,244,11272,2272,0.0010716904506740369,0.22121947092334593,0.013762761577077105,0.6357944610525128,0.1281516159963901,8444,9285,0.4762817981837667,0.5237182018162333,76.65971007953071,65.59619831913814,Média
Matupá,MT,14220,15256,1491,1662,3410,3157,2405,1775,1356,0.09773203985317253,0.10894074462506555,0.2235186156266387,0.2069349764027268,0.15764289459884637,0.11634766649187205,0.08888306240167802,16,5748,153,8192,1147,0.001048767697954903,0.3767697954902989,0.01002884111169376,0.5369690613529103,0.0751835343471421,7752,7504,0.5081279496591505,0.4918720503408495,93.20922915574201,78.00924226533823,Média
Maturéia,PB,3950,4948,517,516,1030,932,757,567,629,0.10448666127728375,0.10428455941794665,0.20816491511721907,0.1883589329021827,0.15299110751818917,0.11459175424413905,0.12712206952303962,9,1379,0,3089,471,0.001818916734033953,0.27869846402586906,0.0,0.6242926434923202,0.09518997574777688,2352,2596,0.47534357316087306,0.5246564268391269,79.83023443815684,67.90016168148748,Média
Matutina,MG,2848,3178,203,243,487,475,520,521,729,0.06387665198237885,0.0764631843926998,0.15324103209565765,0.14946507237256135,0.16362492133417245,0.16393958464443045,0.22938955317809942,0,2108,0,903,167,0.0,0.6633102580239144,0.0,0.2841409691629956,0.05254877281308999,1572,1606,0.4946507237256136,0.5053492762743864,89.61611076148522,74.5059786028949,Média
Matão,SP,63469,65935,4819,5267,11654,13220,11045,9914,10016,0.0730871312656404,0.07988170167589292,0.17674982937741715,0.20050049290968378,0.16751346022598013,0.15036020323045424,0.15190718131493136,322,41183,14,20133,4283,0.004883597482369,0.6245999848335482,0.0002123303253203913,0.3053461742625313,0.06495791309623114,31956,33979,0.48465913399560173,0.5153408660043983,96.2599529839994,79.61542428148935,Média
Matões,MA,17721,23505,3346,2623,4228,4409,3139,2701,3059,0.1423526909168262,0.11159327802595193,0.17987662199532015,0.18757711125292492,0.1335460540310572,0.11491172091044459,0.13014252286747502,24,2847,14,16680,3940,0.001021059349074665,0.12112316528398213,0.0005956179536268879,0.7096362476068921,0.16762390980642417,11749,11756,0.4998510955115933,0.5001489044884068,75.39246968730058,65.18906615613699,Média
Matões do Norte,MA,10603,13122,1778,1979,2973,2408,1931,1128,925,0.1354976375552507,0.1508154244779759,0.2265660722450846,0.1835086114921506,0.14715744551135498,0.08596250571559214,0.07049230300259107,1,2229,1,9254,1637,7.620789513793629e-05,0.16986739826246,7.620789513793629e-05,0.7052278616064624,0.1247523243408017,6650,6472,0.5067825026672763,0.4932174973327237,80.80323121475385,68.99291266575219,Média
Maurilândia,GO,7110,8056,774,757,1609,1601,1377,971,967,0.09607745779543198,0.09396722939424032,0.19972691161866932,0.198733862959285,0.17092850049652433,0.12053128103277061,0.12003475670307845,16,2678,7,4678,677,0.0019860973187686196,0.3324230387288977,0.000868917576961271,0.5806852035749752,0.08403674280039722,4077,3979,0.5060824230387289,0.4939175769612711,88.25719960278053,74.35042204568023,Média
Maurilândia do Tocantins,TO,1890,2274,281,244,407,402,365,279,296,0.12357080035180298,0.10729991204925242,0.1789797713280563,0.17678100263852242,0.16051011433597184,0.12269129287598944,0.13016710642040458,0,328,236,1417,293,0.0,0.1442392260334213,0.10378188214599825,0.6231310466138962,0.12884784520668427,1166,1108,0.5127528583992964,0.4872471416007036,83.11345646437994,71.3900615655233,Média
Mauriti,CE,26883,35443,3524,3690,7083,6639,5419,4184,4904,0.09942724938633862,0.10411082583302768,0.1998419998307141,0.1873148435516181,0.15289337810004797,0.11804869790931918,0.13836300538893434,43,9824,8,22391,3177,0.0012132155855881274,0.2771774398329713,0.00022571452755127953,0.6317467483000875,0.08963688175380188,17432,18011,0.4918319555342381,0.5081680444657619,75.84854555201309,64.75467652286771,Média
Mauá,SP,329497,340603,27976,32726,67473,70555,57014,45060,39799,0.08213668112142289,0.0960825359729656,0.1980986661890823,0.2071473240106517,0.1673913617907065,0.13229478307589776,0.11684864783927329,1459,169246,341,136540,33017,0.004283579416505433,0.4969010842535151,0.0010011655798686447,0.4008772676693981,0.09693690308071273,162085,178518,0.47587660707627355,0.5241233929237264,96.7393123372372,80.38364019107291,Baixa
Mauá da Serra,PR,6533,7148,658,710,1498,1391,1218,903,770,0.09205372132064914,0.09932848349188585,0.20956911024062674,0.19459988808058198,0.17039731393396754,0.12632904308897594,0.10772243984331281,98,4471,2,2331,246,0.013710128707330722,0.6254896474538333,0.0002797985450475658,0.3261052042529379,0.03441522104085059,3578,3570,0.5005595970900951,0.4994404029099049,91.39619473978735,75.55959709009512,Média
Maués,AM,37685,40160,6581,5388,8582,7453,4935,3590,3631,0.1638695219123506,0.13416334661354581,0.21369521912350598,0.18558266932270917,0.12288346613545817,0.08939243027888447,0.09041334661354582,28,3408,4379,31229,1116,0.0006972111553784861,0.0848605577689243,0.10903884462151395,0.7776145418326693,0.027788844621513945,21193,18967,0.5277141434262949,0.4722858565737052,93.8371513944223,80.21698207171315,Baixa
Maxaranguape,RN,6483,7946,948,865,1506,1513,1199,945,970,0.11930531084822552,0.10885980367480494,0.18952932292977598,0.1904102693178958,0.15089353133652153,0.11892776239617417,0.12207399949660207,19,1843,5,4763,1316,0.002391140196325195,0.23194059904354392,0.0006292474200855776,0.5994210923735213,0.16561792096652403,3979,3967,0.5007550969041027,0.4992449030958973,81.58822048829599,69.54140448024161,Média
Maximiliano de Almeida,RS,3397,3570,248,245,487,511,596,674,809,0.06946778711484594,0.06862745098039216,0.13641456582633052,0.14313725490196078,0.16694677871148458,0.1887955182072829,0.22661064425770308,0,2770,0,695,105,0.0,0.7759103641456583,0.0,0.19467787114845939,0.029411764705882353,1763,1807,0.4938375350140056,0.5061624649859944,95.15406162464986,78.5,Média
Mazagão,AP,13059,14915,2476,2122,3282,2720,1902,1288,1125,0.16600737512571237,0.14227287965135768,0.22004693261816963,0.18236674488769694,0.1275226282266175,0.08635601743211532,0.07542742205833054,12,2038,16,10518,2331,0.0008045591686221924,0.13664096547100235,0.0010727455581629232,0.7051961112973517,0.1562856185048609,7804,7111,0.5232316459939658,0.4767683540060342,87.55615152531009,74.70445859872612,Média
Maçambará,RS,3382,3601,289,282,585,624,621,615,585,0.08025548458761456,0.07831158011663426,0.1624548736462094,0.17328519855595667,0.17245209663982228,0.17078589280755346,0.1624548736462094,0,2230,3,1173,195,0.0,0.6192724243265759,0.0008331019161344071,0.3257428492085532,0.05415162454873646,1840,1761,0.510969175229103,0.489030824770897,93.91835601221882,77.87281310747015,Média
Medeiros,MG,3006,3162,251,288,629,570,520,453,451,0.07938013915243516,0.09108159392789374,0.1989247311827957,0.18026565464895636,0.1644528779253637,0.1432637571157495,0.14263124604680583,1,1770,0,1146,245,0.00031625553447185326,0.5597722960151803,0.0,0.36242884250474383,0.07748260594560405,1666,1496,0.5268817204301075,0.4731182795698925,95.06641366223909,78.92283364958887,Média
Medeiros Neto,BA,14725,17701,1612,1504,2988,3170,2888,2523,3016,0.09106830122591944,0.0849669510197164,0.16880402237161743,0.17908592734873735,0.16315462403254052,0.1425343200949099,0.17038585390655894,10,4111,17,11895,1668,0.0005649398339076889,0.23224676571945088,0.000960397717643071,0.6719959324331959,0.0942319642958025,8889,8812,0.5021750183605446,0.4978249816394554,83.18739054290718,70.92785718321,Média
Medianeira,PR,42304,43852,3610,4731,9584,8122,6736,5795,5274,0.08232235701906412,0.10788561525129983,0.21855331569825778,0.18521390130438747,0.15360758916355013,0.13214904679376083,0.12026817476967983,121,30315,35,12010,1371,0.0027592812186445314,0.6913025631670163,0.000798139195475691,0.27387576393322993,0.03126425248563349,21539,22313,0.4911748608957402,0.5088251391042597,96.46994435829609,79.41425704642892,Média
Medicilândia,PA,17379,19947,2424,2296,4152,4122,2999,2154,1800,0.12152203338847947,0.1151050283250614,0.20815160174462324,0.20664761618288466,0.1503484233218028,0.10798616333283201,0.09023913370431644,54,3881,16,13776,2220,0.0027071740111294933,0.19456559883691782,0.0008021256329272573,0.6906301699503685,0.11129493156865694,10712,9235,0.5370231112447987,0.46297688875520127,87.12588359151752,73.97202586855165,Média
Medina,MG,13685,16177,1520,1478,2674,2818,2568,2141,2978,0.09396056129072139,0.09136428262347777,0.165296408481177,0.17419793534029795,0.15874389565432404,0.1323483958706806,0.18408852073932125,8,3445,1,11599,1124,0.0004945292699511652,0.21295666687272052,6.181615874389565e-05,0.7170056252704456,0.06948136242813871,8031,8146,0.496445570872226,0.503554429127774,84.5954132410212,72.21289485071397,Média
Meleiro,SC,5611,5846,450,426,1043,990,976,942,1019,0.0769757098871023,0.07287033869312351,0.17841258980499486,0.16934656175162505,0.16695176188847075,0.16113581936366747,0.17430721861101608,2,5350,0,417,77,0.00034211426616489907,0.915155661991105,0.0,0.07133082449538146,0.013171399247348614,2878,2968,0.4923024290112898,0.5076975709887103,95.98015737256243,78.37854943551147,Média
Melgaço,PA,13728,17135,3516,2850,3987,2961,1817,1010,994,0.20519404727166618,0.166326232856726,0.23268164575430406,0.1728042019258827,0.10604026845637583,0.05894368252115553,0.0580099212138897,11,2295,11,12655,2163,0.0006419608987452582,0.13393638751094253,0.0006419608987452582,0.7385468339655675,0.1262328567259994,9089,8046,0.5304347826086957,0.46956521739130436,80.11672016340823,68.8723665013131,Média
Mendes,RJ,14131,14620,967,1107,2225,2422,2499,2663,2737,0.06614227086183311,0.07571819425444597,0.15218878248974008,0.16566347469220247,0.17093023255813952,0.18214774281805746,0.1872093023255814,15,6598,22,5347,2638,0.0010259917920656635,0.45129958960328315,0.0015047879616963064,0.36573187414500685,0.18043775649794802,6833,7787,0.4673734610123119,0.5326265389876881,96.65526675786593,80.78467852257181,Baixa
Mendes Pimentel,MG,3896,4682,353,298,599,788,906,749,989,0.07539513028620248,0.06364801366937206,0.1279367791542076,0.16830414352840667,0.1935070482699701,0.15997436992738145,0.21123451516445962,2,1379,1,2850,450,0.00042716787697565144,0.29453225117471166,0.00021358393848782572,0.6087142246903033,0.09611277231952157,2271,2411,0.4850491243058522,0.5149508756941478,83.2123024348569,70.82357966680905,Média
Mendonça,SP,4789,5051,371,393,906,992,786,719,884,0.0734508018214215,0.07780637497525243,0.17937042169867354,0.1963967531181944,0.15561274995050486,0.14234804989111066,0.17501484854484262,13,3338,2,1423,275,0.0025737477727182734,0.6608592357948921,0.0003959611958028113,0.28172639081370027,0.054444664422886556,2524,2527,0.4997030291031479,0.5002969708968521,94.81290833498318,78.43971490793903,Média
Mercedes,PR,4601,4788,363,399,844,849,831,729,773,0.07581453634085213,0.08333333333333333,0.17627401837928153,0.17731829573934837,0.17355889724310777,0.15225563909774437,0.1614452798663325,5,3835,2,816,130,0.0010442773600668337,0.8009607351712615,0.0004177109440267335,0.17042606516290726,0.027151211361737676,2350,2438,0.49081035923141186,0.5091896407685882,96.09440267335005,78.85463659147871,Média
